CD_CLIENTE,Recencia,Frequencia,Monetario,R_Score,F_Score,M_Score,RFM_Score,Segmento
T14861,2165,55,59163.680303884496,1,5,5,155,Ex-Amantes
T14917,520,32,17664.398467130435,3,5,4,354,Prestes a te largar
T14930,3777,28,9531.292306135547,1,5,4,154,Clientes Regulares
T14950,1193,12,6372.627384029572,2,3,3,233,Prestes a te largar
T15003,3782,11,612.6155226548426,1,3,2,132,Clientes Regulares
T15011,186,70,69395.5034018101,5,5,5,555,Almas Gêmeas
T15034,198,38,63017.31431448281,5,5,5,555,Almas Gêmeas
T15035,262,83,139694.84874929517,4,5,5,455,Amantes
T15045,176,62,95770.1345886903,5,5,5,555,Almas Gêmeas
T15055,2214,31,18960.304762509575,1,5,4,154,Clientes Regulares
T15061,5234,8,5825.840063898974,1,3,3,133,Clientes Regulares
T15062,583,79,102336.66068995782,3,5,5,355,Prestes a te largar
T15074,4020,37,34561.05487087242,1,5,4,154,Clientes Regulares
T15080,4593,28,73570.87122834745,1,5,5,155,Ex-Amantes
T15086,222,15,26732.3458180312,5,4,4,544,Amantes
T15122,198,39,27725.22966661598,5,5,4,554,Amantes
T15127,634,48,37167.31191554693,3,5,5,355,Prestes a te largar
T15135,849,27,39802.14678260849,3,5,5,355,Prestes a te largar
T15138,194,26,10983.258398583983,5,5,4,554,Amantes
T15140,194,29,44659.06078106247,5,5,5,555,Almas Gêmeas
T15144,5458,17,6298.719367644167,1,4,3,143,Clientes Regulares
T15145,1046,35,120665.8193265348,2,5,5,255,Prestes a te largar
T15159,165,158,234355.25747771672,5,5,5,555,Almas Gêmeas
T15162,3622,4,215.2837396685387,1,2,2,122,Clientes Regulares
T15169,1131,9,43159.47339235025,2,3,5,235,Prestes a te largar
T15172,190,45,92453.37099869167,5,5,5,555,Almas Gêmeas
T15173,435,16,4526.154500746067,4,4,3,443,Amantes
T15176,305,25,5549.982943416072,4,4,3,443,Amantes
T15225,166,36,49454.089795203334,5,5,5,555,Almas Gêmeas
T15232,2423,26,68980.89796889898,1,5,5,155,Ex-Amantes
T15238,4497,8,196.40842008657916,1,3,2,132,Clientes Regulares
T15240,1480,2,0.0378347163112778,2,1,1,211,Prestes a te largar
T15283,145,78,155332.97955737342,5,5,5,555,Almas Gêmeas
T15289,3622,31,15248.054882909106,1,5,4,154,Clientes Regulares
T15314,141,14,36850.07622699157,5,4,4,544,Amantes
T15319,1424,44,42950.31046900943,2,5,5,255,Prestes a te largar
T15331,201,85,166777.41792464777,5,5,5,555,Almas Gêmeas
T15382,5003,9,6215.41993389884,1,3,3,133,Clientes Regulares
T15389,2654,10,167366.77770834326,1,3,5,135,Clientes Regulares
T15393,767,42,111958.61758794729,3,5,5,355,Prestes a te largar
T15403,521,10,6974.010199797334,3,3,3,333,Amigos Platônicos
T15411,3015,23,15408.44465306735,1,4,4,144,Clientes Regulares
T15456,191,48,24189.289565026054,5,5,4,554,Amantes
T15467,155,39,61923.13011490322,5,5,5,555,Almas Gêmeas
T15510,3929,36,61818.78617117418,1,5,5,155,Ex-Amantes
T15517,367,2,0.00840771473583952,4,1,1,411,Aprendiz
T15526,192,30,64327.74493706811,5,5,5,555,Almas Gêmeas
T15532,3228,2,813.4169736908979,1,1,2,112,Clientes Regulares
T15550,1083,29,76141.58886283351,2,5,5,255,Prestes a te largar
T15560,4674,11,2622.7361655567215,1,3,3,133,Clientes Regulares
T15561,367,23,18147.65709471702,4,4,4,444,Amantes
T15580,5175,5,2349.317282347224,1,2,3,123,Clientes Regulares
T15583,829,7,12012.354274535988,3,3,4,334,Amigos Platônicos
T15628,165,70,30408.400485693906,5,5,4,554,Amantes
T15633,184,71,84515.53821629395,5,5,5,555,Almas Gêmeas
T15644,193,43,69999.29923170703,5,5,5,555,Almas Gêmeas
T15648,193,31,28971.047001456347,5,5,4,554,Amantes
T15650,194,65,128632.59566691048,5,5,5,555,Almas Gêmeas
T15669,5450,13,9354.881635548152,1,4,4,144,Clientes Regulares
T15688,276,10,4504.500431443914,4,3,3,433,Amantes
T15691,548,33,3907.0398146004172,3,5,3,353,Prestes a te largar
T15697,1153,26,15461.44268290471,2,5,4,254,Prestes a te largar
T15732,687,53,41665.14923306267,3,5,5,355,Prestes a te largar
T15737,2433,12,20298.102496560055,1,3,4,134,Clientes Regulares
T15747,794,40,25192.203817290658,3,5,4,354,Prestes a te largar
T15753,4008,20,6817.609890281239,1,4,3,143,Clientes Regulares
T15780,2168,24,72004.99741665788,1,4,5,145,Clientes Regulares
T15822,3336,9,30320.792098146507,1,3,4,134,Clientes Regulares
T15837,4874,11,2314.6774976355628,1,3,3,133,Clientes Regulares
T15841,1226,20,20794.330024126702,2,4,4,244,Prestes a te largar
