CD_CLIENTE,Recencia,Frequencia,Monetario,R_Score,F_Score,M_Score,RFM_Score,Segmento
T59811,712,14,7392.819490076331,3,4,3,343,Prestes a te largar
T59826,978,43,63310.41986174624,3,5,5,355,Prestes a te largar
T59901,501,23,32128.211146482026,4,4,4,444,Amantes
T59920,171,14,17586.290797234495,5,4,4,544,Amantes
T60033,4918,8,815.0354587775474,1,3,2,132,Clientes Regulares
T60085,185,53,66267.80409307622,5,5,5,555,Almas Gêmeas
T60147,591,27,83237.35958743525,3,5,5,355,Prestes a te largar
T60161,306,67,140546.1550894432,4,5,5,455,Amantes
T60171,4051,1,0.424589594159896,1,1,1,111,Clientes Regulares
T60204,193,31,1651.7628215735601,5,5,3,553,Amantes
T60224,3237,14,21468.7338423752,1,4,4,144,Clientes Regulares
T60230,1207,3,6676.213147711259,2,1,3,213,Prestes a te largar
T60275,806,10,5422.85409275282,3,3,3,333,Amigos Platônicos
T60309,187,35,122776.49623767729,5,5,5,555,Almas Gêmeas
T60311,177,120,917516.3033675095,5,5,5,555,Almas Gêmeas
T60327,188,57,650539.659216193,5,5,5,555,Almas Gêmeas
T60330,214,8,5676.014587306316,5,3,3,533,Amantes
T60379,5505,2,0.00840771473583952,1,1,1,111,Clientes Regulares
T60392,173,28,37881.30345862908,5,5,5,555,Almas Gêmeas
T60400,1409,49,130470.42962330302,2,5,5,255,Prestes a te largar
T60409,194,16,19427.34490837074,5,4,4,544,Amantes
T60430,5505,2,0.00840771473583952,1,1,1,111,Clientes Regulares
T60435,1222,9,4209.595633226969,2,3,3,233,Prestes a te largar
T60441,1222,9,943.7743868127227,2,3,2,232,Prestes a te largar
T60447,2144,2,1601.7495304674178,1,1,3,113,Clientes Regulares
T60449,143,45,106080.6623042582,5,5,5,555,Almas Gêmeas
T60458,481,62,480615.0865309134,4,5,5,455,Amantes
T60480,428,3,19227.577606247196,4,1,4,414,Flertando
T60481,173,18,62661.69740815834,5,4,5,545,Amantes
T60502,187,32,18401.317848297298,5,5,4,554,Amantes
T60517,192,91,419512.1500077776,5,5,5,555,Almas Gêmeas
T60518,276,13,17417.375604334105,4,4,4,444,Amantes
T60571,289,69,256021.2573270817,4,5,5,455,Amantes
T60579,234,20,6315.0555573758975,5,4,3,543,Amantes
T60580,2803,11,1902.9769301657097,1,3,3,133,Clientes Regulares
T60589,1408,41,50176.34612187083,2,5,5,255,Prestes a te largar
T60607,2347,21,23644.969909170424,1,4,4,144,Clientes Regulares
T60617,170,133,773678.0150883867,5,5,5,555,Almas Gêmeas
T60625,187,75,421047.9704431447,5,5,5,555,Almas Gêmeas
T60633,361,12,2717.4574797706946,4,3,3,433,Amantes
T60689,571,5,921.195468889625,3,2,2,322,Prestes a te largar
T60696,187,34,33504.4657677342,5,5,4,554,Amantes
T60699,1222,15,13716.017919173884,2,4,4,244,Prestes a te largar
T60716,4460,9,2819.712106387972,1,3,3,133,Clientes Regulares
T60720,3622,11,1092.599345351816,1,3,2,132,Clientes Regulares
T60726,193,33,11640.619779062945,5,5,4,554,Amantes
T60750,3985,12,21881.2415504597,1,3,4,134,Clientes Regulares
T60795,170,49,205047.24608507755,5,5,5,555,Almas Gêmeas
T60841,1296,18,15072.384091218471,2,4,4,244,Prestes a te largar
T60842,733,28,34885.13023536536,3,5,4,354,Prestes a te largar
T60859,158,17,283042.8243281683,5,4,5,545,Amantes
T60887,173,37,296481.4969613509,5,5,5,555,Almas Gêmeas
T60892,1712,4,12798.395729046963,2,2,4,224,Prestes a te largar
T60951,5337,4,355.9658264859739,1,2,2,122,Clientes Regulares
T60992,2810,3,21019.291043456156,1,1,4,114,Clientes Regulares
T60994,306,37,140129.58225128392,4,5,5,455,Amantes
T61024,131,59,293110.61291159777,5,5,5,555,Almas Gêmeas
T61052,225,8,2093.899316387154,5,3,3,533,Amantes
T61086,627,24,24066.864830757462,3,4,4,344,Prestes a te largar
T61094,3539,4,277.05521983275173,1,2,2,122,Clientes Regulares
T61122,3539,4,277.05521983275173,1,2,2,122,Clientes Regulares
T61126,1437,98,124641.01207678391,2,5,5,255,Prestes a te largar
T61132,589,34,25126.678292496945,3,5,4,354,Prestes a te largar
T61135,221,7,17764.95893922844,5,3,4,534,Amantes
T61210,183,48,186757.05300244363,5,5,5,555,Almas Gêmeas
T61211,186,28,15618.187708724969,5,5,4,554,Amantes
T61216,5066,14,18678.93218115998,1,4,4,144,Clientes Regulares
T61235,2789,10,8704.746685884626,1,3,3,133,Clientes Regulares
T61371,194,39,224177.5968781193,5,5,5,555,Almas Gêmeas
T61384,267,131,1919207.1910994886,4,5,5,455,Amantes
T61402,232,55,50495.60386582024,5,5,5,555,Almas Gêmeas
T61412,253,64,140059.54598753425,4,5,5,455,Amantes
T61431,325,44,72883.55736412213,4,5,5,455,Amantes
T61456,2266,116,25883.502938300862,1,5,4,154,Clientes Regulares
T61500,275,67,552720.3501496537,4,5,5,455,Amantes
T61523,369,37,139977.11675226403,4,5,5,455,Amantes
T61539,1405,15,93300.01105716119,2,4,5,245,Prestes a te largar
T61561,4483,15,36076.18812413123,1,4,4,144,Clientes Regulares
T61585,394,50,73405.91606908775,4,5,5,455,Amantes
T61653,193,35,71415.91508754865,5,5,5,555,Almas Gêmeas
T61658,241,96,336920.41463105043,5,5,5,555,Almas Gêmeas
T61662,183,25,211345.10786581837,5,4,5,545,Amantes
T61712,520,7,16645.593634015062,3,3,4,334,Amigos Platônicos
T61718,1494,111,19576.661718221898,2,5,4,254,Prestes a te largar
T61788,494,54,93018.8234455358,4,5,5,455,Amantes
T61799,635,14,13735.128654768469,3,4,4,344,Prestes a te largar
T61860,240,25,16506.063404116463,5,4,4,544,Amantes
T61862,150,36,56384.3924899464,5,5,5,555,Almas Gêmeas
T61906,694,10,7466.109539428645,3,3,3,333,Amigos Platônicos
T61924,411,5,2046.9085987285468,4,2,3,423,Clientes Regulares
T61925,135,61,274606.4729159385,5,5,5,555,Almas Gêmeas
T61939,149,123,546543.0129596505,5,5,5,555,Almas Gêmeas
T61949,1159,20,7478.485695519788,2,4,3,243,Prestes a te largar
T61950,232,21,74752.18877959187,5,4,5,545,Amantes
T61954,5296,2,0.0378347163112779,1,1,1,111,Clientes Regulares
T61985,1957,22,63658.34791294477,1,4,5,145,Clientes Regulares
T61988,1136,26,17121.4702880636,2,5,4,254,Prestes a te largar
T62003,190,79,209675.68463944236,5,5,5,555,Almas Gêmeas
T62248,641,69,84642.21725421888,3,5,5,355,Prestes a te largar
T62310,145,34,50315.19112301857,5,5,5,555,Almas Gêmeas
T62318,192,28,13693.069061802413,5,5,4,554,Amantes
T62321,1222,8,405.1761808348419,2,3,2,232,Prestes a te largar
T62366,2501,13,16385.559832665072,1,4,4,144,Clientes Regulares
T62368,198,30,79567.82510255024,5,5,5,555,Almas Gêmeas
T62369,892,20,57009.766719712905,3,4,5,345,Prestes a te largar
T62391,2774,17,6878.326202246101,1,4,3,143,Clientes Regulares
T62472,137,34,246209.25244520316,5,5,5,555,Almas Gêmeas
T62498,1262,22,37122.09522569756,2,4,5,245,Prestes a te largar
T62508,235,47,70718.7768086545,5,5,5,555,Almas Gêmeas
T62512,1222,6,12993.387449200583,2,2,4,224,Prestes a te largar
T62523,1222,30,85007.38952834057,2,5,5,255,Prestes a te largar
T62525,1167,15,21317.315103840105,2,4,4,244,Prestes a te largar
T62588,3902,4,2131.431354967937,1,2,3,123,Clientes Regulares
T62590,3902,4,2131.431354967937,1,2,3,123,Clientes Regulares
T62600,2045,8,4658.538173119222,1,3,3,133,Clientes Regulares
T62641,4197,14,8830.421001898583,1,4,3,143,Clientes Regulares
T73740,135,123,1436014.0974454132,5,5,5,555,Almas Gêmeas
T73747,169,100,937964.8997539841,5,5,5,555,Almas Gêmeas
T73755,145,54,1192231.1012801046,5,5,5,555,Almas Gêmeas
T73765,170,80,399202.8358236176,5,5,5,555,Almas Gêmeas
T73768,481,14,14897.230373984095,4,4,4,444,Amantes
T73774,368,36,85106.97890938664,4,5,5,455,Amantes
T73776,4614,4,7494.25856836424,1,2,3,123,Clientes Regulares
T73807,3151,7,30286.875376902055,1,3,4,134,Clientes Regulares
T73839,192,82,166387.99359737063,5,5,5,555,Almas Gêmeas
T73851,184,200,777419.4103111192,5,5,5,555,Almas Gêmeas
T73876,185,96,658219.4970680646,5,5,5,555,Almas Gêmeas
T73965,1018,23,1394.6675165236913,3,4,2,342,Prestes a te largar
T74015,2815,6,985.1445471704203,1,2,2,122,Clientes Regulares
T74087,2809,11,285.61006957646794,1,3,2,132,Clientes Regulares
T74125,268,3,94.02767774826125,4,1,1,411,Aprendiz
T74126,387,16,5664.474998831368,4,4,3,443,Amantes
T74148,550,22,24353.76128068856,3,4,4,344,Prestes a te largar
T74247,970,10,138.39518840928633,3,3,1,331,Prestes a te largar
T74282,2809,9,2818.5140070381167,1,3,3,133,Clientes Regulares
T74304,271,70,229553.35936063676,4,5,5,455,Amantes
T74314,2182,9,18857.596119296522,1,3,4,134,Clientes Regulares
T74367,235,38,64802.280560616266,5,5,5,555,Almas Gêmeas
T74369,407,72,210484.30501187636,4,5,5,455,Amantes
T74380,156,19,263420.43725335517,5,4,5,545,Amantes
T74391,3167,10,128294.870377544,1,3,5,135,Clientes Regulares
T74414,183,47,62204.511103967656,5,5,5,555,Almas Gêmeas
T74473,198,66,190447.88422875476,5,5,5,555,Almas Gêmeas
T74511,186,69,177429.43338192647,5,5,5,555,Almas Gêmeas
T74551,165,124,453975.6249414262,5,5,5,555,Almas Gêmeas
T74600,246,18,27892.505355142872,5,4,4,544,Amantes
T74657,367,73,199663.42060412825,4,5,5,455,Amantes
T74690,568,36,74502.94628010527,3,5,5,355,Prestes a te largar
T74756,194,76,67626.41092109792,5,5,5,555,Almas Gêmeas
T74810,397,77,99359.13157412082,4,5,5,455,Amantes
T74865,451,19,89816.37955280038,4,4,5,445,Amantes
T74871,158,74,497044.7784582273,5,5,5,555,Almas Gêmeas
T74874,3596,6,28108.726555004454,1,2,4,124,Clientes Regulares
T75004,162,115,1374299.5543253915,5,5,5,555,Almas Gêmeas
T75007,367,24,23405.787240365255,4,4,4,444,Amantes
T75023,236,16,19667.14134035161,5,4,4,544,Amantes
T75062,333,251,1096598.6388163567,4,5,5,455,Amantes
T75123,1795,15,3923.027084170616,2,4,3,243,Prestes a te largar
T75152,2476,22,24452.543521119915,1,4,4,144,Clientes Regulares
T75178,3931,6,85006.57398001124,1,2,5,125,Clientes Regulares
T75243,368,57,148659.1962392209,4,5,5,455,Amantes
T75274,460,61,359935.684541223,4,5,5,455,Amantes
T75282,271,162,462999.763894696,4,5,5,455,Amantes
T75306,218,11,62858.6397181307,5,3,5,535,Amantes
T75322,171,40,37250.06064397704,5,5,5,555,Almas Gêmeas
T75330,428,52,212469.7237888844,4,5,5,455,Amantes
T75337,583,19,125377.67922650871,3,4,5,345,Prestes a te largar
T75344,276,30,58029.30722786758,4,5,5,455,Amantes
T75385,212,95,244795.16731149706,5,5,5,555,Almas Gêmeas
T75419,144,56,580278.4596704657,5,5,5,555,Almas Gêmeas
T75437,501,36,153306.262085583,4,5,5,455,Amantes
T75442,1662,38,41818.56900770493,2,5,5,255,Prestes a te largar
T75488,276,31,75019.05805302213,4,5,5,455,Amantes
T75502,5568,10,245.98030616908935,1,3,2,132,Clientes Regulares
T75515,275,38,66477.30752886386,4,5,5,455,Amantes
T75558,226,51,112144.3860450357,5,5,5,555,Almas Gêmeas
T75573,163,118,487836.1195935072,5,5,5,555,Almas Gêmeas
T75582,164,166,695332.7053392862,5,5,5,555,Almas Gêmeas
T75656,1222,14,10751.794011906311,2,4,4,244,Prestes a te largar
T75794,684,63,519254.6103159925,3,5,5,355,Prestes a te largar
T75857,493,35,96589.18473125422,4,5,5,455,Amantes
T75868,166,92,242440.67508072997,5,5,5,555,Almas Gêmeas
T76001,285,82,493057.09604773717,4,5,5,455,Amantes
T76003,193,48,81717.04718189928,5,5,5,555,Almas Gêmeas
T76078,246,23,79321.23523706278,5,4,5,545,Amantes
T76115,367,25,26883.117162531664,4,4,4,444,Amantes
T76118,226,23,22089.988291921116,5,4,4,544,Amantes
T76120,155,28,61898.26850242943,5,5,5,555,Almas Gêmeas
T76135,401,48,87770.37478340587,4,5,5,455,Amantes
T76185,2808,11,5059.539923587721,1,3,3,133,Clientes Regulares
T76189,256,9,24239.630757006933,4,3,4,434,Amantes
T76192,242,51,173339.03392050957,5,5,5,555,Almas Gêmeas
T76264,1634,10,12154.940708741091,2,3,4,234,Prestes a te largar
T76267,943,47,64070.481477723544,3,5,5,355,Prestes a te largar
T76282,5414,2,315.5499417507929,1,1,2,112,Clientes Regulares
T76286,340,48,94574.06149808456,4,5,5,455,Amantes
T76289,155,202,30562.223830643507,5,5,4,554,Amantes
T76341,1104,16,24643.19686046987,2,4,4,244,Prestes a te largar
T76342,802,24,176566.10400970624,3,4,5,345,Prestes a te largar
T76344,183,4,9027.38433115773,5,2,3,523,Clientes Regulares
T76352,138,158,524919.2156344022,5,5,5,555,Almas Gêmeas
T76374,3358,2,0.00840771473583952,1,1,1,111,Clientes Regulares
T76382,855,41,37927.03722293468,3,5,5,355,Prestes a te largar
T76402,396,72,49482.41118229098,4,5,5,455,Amantes
T76404,190,37,152455.96467120346,5,5,5,555,Almas Gêmeas
T76419,859,221,4669.32527112531,3,5,3,353,Prestes a te largar
T76425,1019,24,19872.735188787137,3,4,4,344,Prestes a te largar
T76441,192,70,156597.02061390385,5,5,5,555,Almas Gêmeas
T76472,3082,18,33579.23557488002,1,4,4,144,Clientes Regulares
T76474,254,82,127980.42605028095,4,5,5,455,Amantes
T76488,5764,2,646.813902342871,1,1,2,112,Clientes Regulares
T76529,400,23,28978.513052141836,4,4,4,444,Amantes
T76547,242,84,766401.8232132682,5,5,5,555,Almas Gêmeas
T76576,5703,2,2154.809005790947,1,1,3,113,Clientes Regulares
T76590,157,155,651464.5414679948,5,5,5,555,Almas Gêmeas
T76650,325,7,11343.84846817467,4,3,4,434,Amantes
T76663,381,114,409585.3167618951,4,5,5,455,Amantes
T76678,1671,6,29421.63745343683,2,2,4,224,Prestes a te largar
T76679,134,76,198811.14737678575,5,5,5,555,Almas Gêmeas
T76719,187,131,886203.2243685246,5,5,5,555,Almas Gêmeas
T76762,172,35,101123.13318356042,5,5,5,555,Almas Gêmeas
T76763,4051,6,12406.600426214245,1,2,4,124,Clientes Regulares
T76764,583,7,28141.302245748455,3,3,4,334,Amigos Platônicos
T76806,190,259,1987097.3057894188,5,5,5,555,Almas Gêmeas
T76838,2194,4,24165.17623916367,1,2,4,124,Clientes Regulares
T76839,137,82,242056.1818781453,5,5,5,555,Almas Gêmeas
T76842,459,23,15187.767364395762,4,4,4,444,Amantes
T76859,369,10,3891.5359886275305,4,3,3,433,Amantes
T76921,5337,2,3369.3622533861117,1,1,3,113,Clientes Regulares
T76922,136,33,99530.54385829777,5,5,5,555,Almas Gêmeas
T76932,520,60,259765.07397165766,3,5,5,355,Prestes a te largar
T76973,157,80,147713.48387416155,5,5,5,555,Almas Gêmeas
T77027,2766,7,185.18412091423343,1,3,2,132,Clientes Regulares
T77096,431,56,117537.79211692617,4,5,5,455,Amantes
T77109,368,27,24202.397192299217,4,5,4,454,Amantes
T77119,421,19,24258.43881487097,4,4,4,444,Amantes
T77135,183,80,263647.61790937546,5,5,5,555,Almas Gêmeas
T77172,2809,6,354.68785384612573,1,2,2,122,Clientes Regulares
T77178,367,72,186152.89564081316,4,5,5,455,Amantes
T77270,247,64,148522.11685816778,5,5,5,555,Almas Gêmeas
T77293,278,30,34412.511570777024,4,5,4,454,Amantes
T77314,2277,11,2315.8251506970055,1,3,3,133,Clientes Regulares
T77325,131,41,68149.07230379403,5,5,5,555,Almas Gêmeas
T77335,262,41,89730.45691205736,4,5,5,455,Amantes
T77352,346,58,407260.47013328644,4,5,5,455,Amantes
T77520,271,62,343765.74475681584,4,5,5,455,Amantes
T77543,585,25,24967.1503130991,3,4,4,344,Prestes a te largar
T77568,465,15,41314.484470717645,4,4,5,445,Amantes
T77573,451,33,27369.44040213946,4,5,4,454,Amantes
T77617,248,43,101197.04960766059,5,5,5,555,Almas Gêmeas
T77620,1046,4,1602.909795100962,2,2,3,223,Prestes a te largar
T77693,310,21,27561.649168715503,4,4,4,444,Amantes
T77784,393,13,107481.7154801237,4,4,5,445,Amantes
T77788,827,26,32174.62593568122,3,5,4,354,Prestes a te largar
T77824,799,2,1505.653554894141,3,1,2,312,Prestes a te largar
T77947,246,35,111290.53216732267,5,5,5,555,Almas Gêmeas
T77993,386,49,40261.91425522315,4,5,5,455,Amantes
T78102,3622,4,1715.5143185580625,1,2,3,123,Clientes Regulares
T78204,1089,10,3282.518967879622,2,3,3,233,Prestes a te largar
T78206,143,58,150220.08427607216,5,5,5,555,Almas Gêmeas
T78209,222,77,268515.34843283705,5,5,5,555,Almas Gêmeas
T78253,353,50,154035.86255107247,4,5,5,455,Amantes
T78381,155,53,98241.5991507198,5,5,5,555,Almas Gêmeas
T78391,243,37,105042.82660883838,5,5,5,555,Almas Gêmeas
T78458,214,3,22175.385450493064,5,1,4,514,Novas Paixões
T78516,606,92,335897.19995155605,3,5,5,355,Prestes a te largar
T78573,222,56,116824.10325157444,5,5,5,555,Almas Gêmeas
T78646,250,10,3371.485201356908,5,3,3,533,Amantes
T78658,4658,4,13893.403884670628,1,2,4,124,Clientes Regulares
T78664,915,41,74462.40848350643,3,5,5,355,Prestes a te largar
T78775,191,24,24618.95321502898,5,4,4,544,Amantes
T78810,204,73,156328.51183610008,5,5,5,555,Almas Gêmeas
T79168,563,73,130339.60558201342,3,5,5,355,Prestes a te largar
T79220,197,15,117151.94527226902,5,4,5,545,Amantes
T79237,290,51,80175.971924823,4,5,5,455,Amantes
T79240,339,45,92598.66471704173,4,5,5,455,Amantes
T79264,254,32,74065.14396223807,4,5,5,455,Amantes
T79368,428,61,74653.1585115758,4,5,5,455,Amantes
T79375,277,40,153253.0286397331,4,5,5,455,Amantes
T79557,276,35,30264.430982414753,4,5,4,454,Amantes
T79572,246,87,167307.65045446358,5,5,5,555,Almas Gêmeas
T79638,2768,5,16110.741064952024,1,2,4,124,Clientes Regulares
T79683,337,65,363931.3164459945,4,5,5,455,Amantes
T79741,6871,2,64.11302871814424,1,1,1,111,Clientes Regulares
T79783,2328,12,49290.282289004885,1,3,5,135,Clientes Regulares
T79808,3358,2,0.00840771473583952,1,1,1,111,Clientes Regulares
T79896,603,10,999.5049239392334,3,3,2,332,Prestes a te largar
T79935,291,117,236395.72997081498,4,5,5,455,Amantes
T79941,340,42,163299.02863042476,4,5,5,455,Amantes
T80020,249,22,16437.51110201778,5,4,4,544,Amantes
T80025,179,7,2118.37837784055,5,3,3,533,Amantes
T80055,250,124,4909.697631565592,5,5,3,553,Amantes
T80088,163,73,159875.20120097982,5,5,5,555,Almas Gêmeas
T80154,1256,3,69.80084773693969,2,1,1,211,Prestes a te largar
T80292,5520,164,0.7062480378105196,1,5,1,151,Clientes Regulares
T80295,218,145,521376.2424794358,5,5,5,555,Almas Gêmeas
T80344,3312,11,0.04624243104711736,1,3,1,131,Clientes Regulares
T80491,3551,8,12447.167649814672,1,3,4,134,Clientes Regulares
T80499,2768,3,0.0210192868395988,1,1,1,111,Clientes Regulares
T80566,135,66,91601.66949595114,5,5,5,555,Almas Gêmeas
T80605,4054,21,30533.318107381663,1,4,4,144,Clientes Regulares
T81031,157,8,65735.51167315031,5,3,5,535,Amantes
T81201,333,60,204840.95860017615,4,5,5,455,Amantes
T81376,351,50,221483.52966074375,4,5,5,455,Amantes
T81472,215,22,52078.78916215089,5,4,5,545,Amantes
T81527,184,12,58608.922470184305,5,3,5,535,Amantes
T81545,247,25,539.5230545988217,5,4,2,542,Clientes Regulares
T81649,172,56,416168.7087389225,5,5,5,555,Almas Gêmeas
T81684,6340,6,416.11882156353715,1,2,2,122,Clientes Regulares
T81709,283,44,70011.10786705355,4,5,5,455,Amantes
T82275,492,11,27822.843234699078,4,3,4,434,Amantes
T82336,164,21,71153.21604062745,5,4,5,545,Amantes
T82418,2928,8,3588.3411836810556,1,3,3,133,Clientes Regulares
T83963,155,27,3747.3983310536687,5,5,3,553,Amantes
T83974,1181,34,23974.88443154741,2,5,4,254,Prestes a te largar
T83980,1766,4,1631.6473640680667,2,2,3,223,Prestes a te largar
T84013,2718,9,1540.8818796373077,1,3,2,132,Clientes Regulares
T84068,304,65,281679.43351046194,4,5,5,455,Amantes
T84071,194,23,86106.30727131647,5,4,5,545,Amantes
T84117,331,34,52071.915855354295,4,5,5,455,Amantes
T84205,611,14,6344.696955677108,3,4,3,343,Prestes a te largar
T84219,488,5,255.6870128316159,4,2,2,422,Clientes Regulares
T84225,1405,7,10475.941095280785,2,3,4,234,Prestes a te largar
T84228,2801,15,16095.056473112325,1,4,4,144,Clientes Regulares
T84252,3235,29,106046.45972071281,1,5,5,155,Ex-Amantes
T84290,338,39,109788.26692146713,4,5,5,455,Amantes
T84300,675,16,139547.49514083483,3,4,5,345,Prestes a te largar
T84301,292,23,73001.40830157434,4,4,5,445,Amantes
T84331,914,38,68640.12908679806,3,5,5,355,Prestes a te largar
T84385,1221,17,609.143136468941,2,4,2,242,Prestes a te largar
T84400,6078,73,0.30688158785814246,1,5,1,151,Clientes Regulares
T84408,6048,174,0.7314711820180382,1,5,1,151,Clientes Regulares
T84428,2061,14,32663.669071006054,1,4,4,144,Clientes Regulares
T84433,2810,12,6360.263839510513,1,3,3,133,Clientes Regulares
T84493,834,19,69076.46846230133,3,4,5,345,Prestes a te largar
T84495,1221,13,11233.354281116268,2,4,4,244,Prestes a te largar
T84505,3622,4,290.95317229109406,1,2,2,122,Clientes Regulares
T84546,485,87,191966.1871904688,4,5,5,455,Amantes
T84547,134,43,177947.30236722314,5,5,5,555,Almas Gêmeas
T84555,568,3,84.82963782725281,3,1,1,311,Prestes a te largar
T84560,225,83,133224.62881646937,5,5,5,555,Almas Gêmeas
T84563,277,94,105249.39995604049,4,5,5,455,Amantes
T84573,1067,22,83113.38362979805,2,4,5,245,Prestes a te largar
T84612,1221,11,15837.557597755116,2,3,4,234,Prestes a te largar
T84622,159,108,363859.060545555,5,5,5,555,Almas Gêmeas
T84626,400,42,130088.74880129745,4,5,5,455,Amantes
T84651,194,36,97470.20393527867,5,5,5,555,Almas Gêmeas
T84673,6526,3,0.01261157210375928,1,1,1,111,Clientes Regulares
T84693,225,32,93195.9277525888,5,5,5,555,Almas Gêmeas
T84703,155,160,2055478.5823587875,5,5,5,555,Almas Gêmeas
T84717,6679,30,0.1261157210375928,1,5,1,151,Clientes Regulares
T84733,716,60,109370.22693708644,3,5,5,355,Prestes a te largar
T84754,1215,2,345.8765688029664,2,1,2,212,Prestes a te largar
T84821,403,9,1112.3490672663045,4,3,2,432,Clientes Regulares
T84843,5448,1,68.371536231847,1,1,1,111,Clientes Regulares
T84857,551,318,151585.17765601247,3,5,5,355,Prestes a te largar
T84886,3824,4,411.3054048772691,1,2,2,122,Clientes Regulares
T84888,2559,54,48800.56233264383,1,5,5,155,Ex-Amantes
T84893,192,41,34758.18635442629,5,5,4,554,Amantes
T84905,1809,15,10281.180587282432,2,4,4,244,Prestes a te largar
T84915,192,42,36033.82164957735,5,5,4,554,Amantes
T84923,1067,12,2789.7007686383918,2,3,3,233,Prestes a te largar
T84929,1132,24,22600.479507537097,2,4,4,244,Prestes a te largar
T84931,219,69,181777.16356440596,5,5,5,555,Almas Gêmeas
T84944,899,12,4911.79535639218,3,3,3,333,Amigos Platônicos
T84955,1815,4,9962.124628486792,2,2,4,224,Prestes a te largar
T84973,2738,27,113818.45453380345,1,5,5,155,Ex-Amantes
T87368,1221,6,292.2311449309424,2,2,2,222,Prestes a te largar
T87548,5758,25,0.08828100472631496,1,4,1,141,Clientes Regulares
T87549,5758,25,0.08828100472631496,1,4,1,141,Clientes Regulares
T89690,5748,5,1040.9465498721875,1,2,2,122,Clientes Regulares
T89704,2978,20,16630.552232352667,1,4,4,144,Clientes Regulares
T89799,1765,14,12194.3182407064,2,4,4,244,Prestes a te largar
T89811,158,55,85789.9880236672,5,5,5,555,Almas Gêmeas
T89914,5728,8,11229.797817782997,1,3,4,134,Clientes Regulares
T89918,351,84,104848.67986401572,4,5,5,455,Amantes
T89932,177,37,30041.727434491833,5,5,4,554,Amantes
T89935,1283,12,15921.7020068314,2,3,4,234,Prestes a te largar
T89937,198,27,22523.775926002036,5,5,4,554,Amantes
T89953,4781,16,27295.9611792056,1,4,4,144,Clientes Regulares
T89973,3168,15,52049.53872258482,1,4,5,145,Clientes Regulares
T89992,1221,3,120.659114174033,2,1,1,211,Prestes a te largar
T92086,696,18,38735.32969449408,3,4,5,345,Prestes a te largar
T92111,3229,8,8701.026272114026,1,3,3,133,Clientes Regulares
T92121,396,16,62295.9618171494,4,4,5,445,Amantes
T92125,193,42,38975.8407822276,5,5,5,555,Almas Gêmeas
T92127,2567,3,4945.665835205513,1,1,3,113,Clientes Regulares
T92129,190,21,19400.343532496598,5,4,4,544,Amantes
T92141,2228,15,19406.615687689526,1,4,4,144,Clientes Regulares
T92154,194,9,3686.7072422330098,5,3,3,533,Amantes
T92194,4905,4,2024.6365623933073,1,2,3,123,Clientes Regulares
T92201,340,18,46659.81522974862,4,4,5,445,Amantes
T92213,235,56,64690.46215848701,5,5,5,555,Almas Gêmeas
T92214,764,18,74667.25824918778,3,4,5,345,Prestes a te largar
T92244,1191,4,1629.5748623856773,2,2,3,223,Prestes a te largar
T92246,326,59,69266.23899160394,4,5,5,455,Amantes
T92270,703,11,57931.57174792084,3,3,5,335,Prestes a te largar
T94426,137,77,390242.67537563056,5,5,5,555,Almas Gêmeas
T94476,4867,39,33746.746679419506,1,5,4,154,Clientes Regulares
T94480,4873,8,6718.016305377863,1,3,3,133,Clientes Regulares
T94503,493,102,240792.56961506652,4,5,5,455,Amantes
T94555,198,24,82219.6939996667,5,4,5,545,Amantes
T94602,3777,70,40365.42163133609,1,5,5,155,Ex-Amantes
T96461,198,20,7373.74658919808,5,4,3,543,Amantes
T96529,1102,45,44141.444027207894,2,5,5,255,Prestes a te largar
T96535,600,85,116389.9456780452,3,5,5,355,Prestes a te largar
T96701,275,26,28724.54962083102,4,5,4,454,Amantes
T96702,1363,8,17231.649185819373,2,3,4,234,Prestes a te largar
T96704,188,48,22208.42356554752,5,5,4,554,Amantes
T98567,4394,8,12191.821149429874,1,3,4,134,Clientes Regulares
T98600,135,28,126771.72877599925,5,5,5,555,Almas Gêmeas
T98613,1221,4,944.1905686921468,2,2,2,222,Prestes a te largar
T98614,5612,2,1757.216583647823,1,1,3,113,Clientes Regulares
T98619,1221,9,12366.218172338024,2,3,4,234,Prestes a te largar
T98720,5024,10,14095.239484619204,1,3,4,134,Clientes Regulares
T98737,188,56,732611.5077560878,5,5,5,555,Almas Gêmeas
T98750,1774,25,42529.26052275333,2,4,5,245,Prestes a te largar
T98762,5093,17,30516.62458977366,1,4,4,144,Clientes Regulares
T98763,310,50,55922.750096945616,4,5,5,455,Amantes
T98789,4286,6,3231.400062285718,1,2,3,123,Clientes Regulares
T98821,169,30,68504.73965640692,5,5,5,555,Almas Gêmeas
T98826,197,47,53358.363471655655,5,5,5,555,Almas Gêmeas
T98877,1221,3,205.7914297317758,2,1,2,212,Prestes a te largar
T98879,155,73,364903.3029196034,5,5,5,555,Almas Gêmeas
T98882,673,26,37329.67749866805,3,5,5,355,Prestes a te largar
T98884,424,36,43402.069593338136,4,5,5,455,Amantes
T99366,4491,2,318.4127686183465,1,1,2,112,Clientes Regulares
TA0675,194,31,20830.718613503366,5,5,4,554,Amantes
TA0689,190,35,82549.05781672851,5,5,5,555,Almas Gêmeas
TA0704,1221,4,250.814742142197,2,2,2,222,Prestes a te largar
