CD_CLIENTE,DATA_RECENTE,FREQUENCIA,MONETARIO,RECENCIA,R_SCORE,F_SCORE,M_SCORE,RFM_SCORE,SEGMENTO_RFM
TFDO54,2023-06-29,0,308337.42570322676,753,3,3,5,335,Potencial para Retenção
TFDO61,2023-06-29,0,13255.228909218838,753,3,3,4,334,Potencial para Retenção
TFDO72,2023-06-29,0,6785.900194155018,753,3,3,3,333,Potencial para Retenção
TFDO81,2023-06-30,0,100.93461540375347,752,3,3,1,331,Potencial para Retenção
TFDO85,2024-12-05,54,456.35394043189734,228,5,5,2,552,Clientes Leais
TFDO88,2023-06-30,0,77.851234596506,752,3,3,1,331,Potencial para Retenção
TFDO92,2023-12-26,0,11126.715031264237,573,3,3,3,333,Potencial para Retenção
TFDO96,2023-06-30,0,6018.9778829533125,752,3,3,3,333,Potencial para Retenção
TFDOA4,2023-11-30,0,20668.07557579594,599,3,3,4,334,Potencial para Retenção
TFDOA9,2023-06-30,0,6628.76420959954,752,3,3,3,333,Potencial para Retenção
TFDOAH,2023-06-30,0,1866.495855926897,752,3,3,2,332,Potencial para Retenção
TFDOAK,2023-06-30,0,14170.665093514399,752,3,3,4,334,Potencial para Retenção
TFDOAP,2024-06-12,28,38630.5695688856,404,4,4,4,444,Campeões
TFDOAQ,2024-11-14,88,19364.9092187424,249,4,5,4,454,Campeões
TFDOB0,2023-06-30,0,7096.401303206937,752,3,3,3,333,Potencial para Retenção
TFDOBB,2023-06-30,0,14763.83357198526,752,3,3,4,334,Potencial para Retenção
TFDOBC,2024-12-16,14,11486.031332072445,217,5,4,3,543,Clientes Leais
TFDOBH,2023-06-30,0,35803.25268451902,752,3,3,4,334,Potencial para Retenção
TFDOBM,2023-06-30,0,3162.612344174447,752,3,3,3,333,Potencial para Retenção
TFDOBO,2025-01-17,26,13570.358465232845,185,5,4,4,544,Campeões
TFDOC4,2023-06-30,0,44563.35996808179,752,3,3,4,334,Potencial para Retenção
TFDOC7,2023-06-30,0,3082.3186684471802,752,3,3,3,333,Potencial para Retenção
TFDOCD,2023-06-30,0,14645.389890644117,752,3,3,4,334,Potencial para Retenção
TFDOCG,2023-06-30,0,3170.599673173496,752,3,3,3,333,Potencial para Retenção
TFDOCI,2023-06-30,0,5172.085593041671,752,3,3,3,333,Potencial para Retenção
TFDOCL,2023-12-14,0,8971.906025473296,585,3,3,3,333,Potencial para Retenção
TFDOD3,2023-08-08,0,3686.808134809832,713,3,3,3,333,Potencial para Retenção
TFDOD9,2024-08-30,289,29192.014356286338,325,4,5,4,454,Campeões
TFDODN,2023-07-03,0,297.68775179450137,749,3,3,2,332,Potencial para Retenção
TFDODO,2023-07-04,0,65.2144393485392,748,3,3,1,331,Potencial para Retenção
TFDODT,2023-08-01,0,26489.388085309667,720,3,3,4,334,Potencial para Retenção
TFDODZ,2023-10-02,0,0.00840771473583952,658,3,3,1,331,Potencial para Retenção
TFDOE0,2023-07-05,0,756.9087229513204,747,3,3,2,332,Potencial para Retenção
TFDOEH,2023-07-06,0,713.9789315101237,746,3,3,2,332,Potencial para Retenção
TFDOF6,2024-10-21,18,34534.64203502978,273,4,4,4,444,Campeões
TFDOFG,2024-09-27,66,43783.61168805053,297,4,5,4,454,Campeões
TFDOGP,2023-07-13,0,71.7640491277582,739,3,3,1,331,Potencial para Retenção
TFDOH1,2024-07-17,2,71.8775532766921,369,4,4,1,441,Clientes Leais
TFDOH6,2024-05-23,6,3051.3530550750907,424,4,4,3,443,Clientes Leais
TFDOH7,2023-07-14,0,3541.724609328196,738,3,3,3,333,Potencial para Retenção
TFDOHG,2024-01-24,0,7077.715157206538,544,3,3,3,333,Potencial para Retenção
TFDOI7,2023-07-17,0,17866.204640077412,735,3,3,4,334,Potencial para Retenção
TFDOJB,2024-04-30,17,18169.98378119803,447,4,4,4,444,Campeões
TFDOJF,2023-07-19,0,30.1542689000884,733,3,3,1,331,Potencial para Retenção
TFDOJI,2025-03-20,1,60.1067526465167,123,5,3,1,531,Novos Promissores
TFDOK2,2023-07-20,0,3113.006827232998,732,3,3,3,333,Potencial para Retenção
TFDOK5,2023-07-20,0,2304.058553924197,732,3,3,3,333,Potencial para Retenção
TFDOKF,2023-07-21,0,248.91880246926482,731,3,3,2,332,Potencial para Retenção
TFDOKV,2023-07-21,0,3202.216884437621,731,3,3,3,333,Potencial para Retenção
TFDOLO,2023-08-08,0,240.70446517234956,713,3,3,2,332,Potencial para Retenção
TFDOM0,2023-07-25,0,921.6620970574647,727,3,3,2,332,Potencial para Retenção
TFDOMM,2024-10-30,12,158.51484977215043,264,4,4,1,441,Clientes Leais
TFDOMO,2024-03-12,2,364.0330287750118,496,3,4,2,342,Potencial para Retenção
TFDONI,2023-08-08,0,227.82384619704334,713,3,3,2,332,Potencial para Retenção
TFDOOY,2023-10-11,0,423.5134066737084,649,3,3,2,332,Potencial para Retenção
TFDOPF,2023-09-06,0,530.8210698472279,684,3,3,2,332,Potencial para Retenção
TFDOPJ,2023-07-28,0,8897.985397515784,724,3,3,3,333,Potencial para Retenção
TFDOPS,2024-11-29,17,3197.6010490476465,234,5,4,3,543,Clientes Leais
TFDOPT,2023-10-17,0,235.6640401882137,643,3,3,2,332,Potencial para Retenção
TFDOPX,2023-07-31,0,3625.1081202208757,721,3,3,3,333,Potencial para Retenção
TFDOQ5,2024-08-30,15,1035.5908355854579,325,4,4,2,442,Clientes Leais
TFDOQ9,2023-07-31,0,683.2781611522059,721,3,3,2,332,Potencial para Retenção
TFDOQK,2023-07-31,0,1015.8074828120265,721,3,3,2,332,Potencial para Retenção
TFDOR7,2023-07-31,0,124.80832139616967,721,3,3,1,331,Potencial para Retenção
TFDOR8,2024-08-30,20,29302.874278935757,325,4,4,4,444,Campeões
TFDORH,2024-08-22,8,2648.3124337831464,333,4,4,3,443,Clientes Leais
TFDORK,2023-07-31,0,2397.1571791941474,721,3,3,3,333,Potencial para Retenção
TFDORV,2024-12-30,146,39274.68039094085,203,5,5,4,554,Campeões
TFDORX,2023-10-30,0,121.66383608496575,630,3,3,1,331,Potencial para Retenção
