CD_CLIENTE,DATA_RECENTE,FREQUENCIA,MONETARIO,RECENCIA,R_SCORE,F_SCORE,M_SCORE,RFM_SCORE,SEGMENTO_RFM
99069,2023-06-06,0,8120.772043477423,776,3,1,3,313,Potencial para Retenção
99958,2016-04-07,0,1634142.1768539124,3392,1,1,5,115,Adormecidos
99999,2023-01-02,0,42.719598572800564,931,3,1,1,311,Potencial para Retenção
CARAMU,2022-06-17,0,85314.57379392923,1130,2,1,5,215,Adormecidos
T00018,2015-09-02,0,205.12301641027668,3610,1,1,2,112,Perdidos
T00053,2024-05-24,80,967114.976429168,423,4,5,5,455,Campeões
T00082,2025-02-13,160,132110.25769380905,158,5,5,5,555,Campeões
T00145,2024-07-25,52,57353.56237911872,361,4,5,5,455,Campeões
T00151,2020-02-13,0,4624.108581275967,1985,1,1,3,113,Adormecidos
T00245,2010-01-26,0,2011.1253648128131,5655,1,1,2,112,Perdidos
T00255,2014-11-28,0,8066.226994128658,3888,1,1,3,113,Adormecidos
T00292,2016-05-11,0,21692.404277492733,3358,1,1,4,114,Adormecidos
T00336,2025-01-26,174,223983.08439770574,176,5,5,5,555,Campeões
T00361,2022-06-14,0,1440.9183552855447,1133,2,1,2,212,Perdidos
T00390,2018-04-18,0,5814.384552571403,2651,1,1,3,113,Adormecidos
T00538,2024-02-02,0,137709.45099157395,535,3,1,5,315,Potencial para Retenção
T00546,2018-06-27,0,17430.907821201436,2581,1,1,4,114,Adormecidos
T00631,2015-08-13,0,20791.126684812334,3630,1,1,4,114,Adormecidos
T00673,2025-01-09,42,40577.97286371544,193,5,5,4,554,Campeões
T00686,2025-01-27,183,501943.57548763766,175,5,5,5,555,Campeões
T00737,2021-03-12,0,6560748.618174904,1592,2,1,5,215,Adormecidos
T00788,2022-07-29,0,282437.70428320044,1088,2,1,5,215,Adormecidos
T00831,2023-07-22,0,120952.82087290015,730,3,1,5,315,Potencial para Retenção
T00931,2013-09-11,0,590.9068032069056,4331,1,1,2,112,Perdidos
T00953,2022-03-24,0,64837.471050643144,1215,2,1,5,215,Adormecidos
T00971,2024-10-04,29,18804.274392441876,290,4,4,4,444,Campeões
T01008,2023-06-15,0,90188.53443401013,767,3,1,5,315,Potencial para Retenção
T01060,2010-12-29,0,19640.854620230006,5318,1,1,4,114,Adormecidos
T01085,2024-09-02,53,50647.531271096785,322,4,5,5,455,Campeões
T01104,2024-10-18,88,151927.73317749478,276,4,5,5,455,Campeões
T01127,2025-01-31,48,31453.89140538084,171,5,5,4,554,Campeões
T01134,2024-12-30,44,72549.8131276829,203,5,5,5,555,Campeões
T01173,2023-08-11,0,56742.72088427312,710,3,1,5,315,Potencial para Retenção
T01205,2019-12-10,0,66370.40343599777,2050,1,1,5,115,Adormecidos
T01254,2024-10-08,38,31915.836476112054,286,4,5,4,454,Campeões
T01259,2024-12-19,150,30385.363347317725,214,5,5,4,554,Campeões
T01346,2015-09-02,0,1808.9450485600796,3610,1,1,2,112,Perdidos
T01351,2025-02-12,140,41256.25684231459,159,5,5,4,554,Campeões
T01352,2017-08-10,0,96343.90646926562,2902,1,1,5,115,Adormecidos
T01356,2011-12-05,0,857.4986220509043,4977,1,1,2,112,Perdidos
T01384,2025-01-13,230,278468.8551537195,189,5,5,5,555,Campeões
T01436,2025-02-19,32,411750.4336259519,152,5,5,5,555,Campeões
T01440,2025-03-14,31,5898.621446509767,129,5,5,3,553,Clientes Leais
T01487,2025-01-20,78,13003.295941016768,182,5,5,4,554,Campeões
T01502,2025-02-28,848,254287.99432271623,143,5,5,5,555,Campeões
T01526,2014-04-24,0,18524.680042758904,4106,1,1,4,114,Adormecidos
T01531,2016-04-26,0,51792.76291069503,3373,1,1,5,115,Adormecidos
T01567,2024-02-15,0,7885.09959557448,522,3,1,3,313,Potencial para Retenção
T01637,2012-03-15,0,1947.415906401985,4876,1,1,2,112,Perdidos
T01667,2024-06-05,81,8179.29394189623,411,4,5,3,453,Clientes Leais
T01670,2024-05-09,212,171096.31805329805,438,4,5,5,455,Campeões
T01690,2024-09-30,124,205828.1588335997,294,4,5,5,455,Campeões
T01695,2016-10-05,0,111779.26421720235,3211,1,1,5,115,Adormecidos
T01702,2015-09-02,0,10074.62825936706,3610,1,1,3,113,Adormecidos
T01724,2022-11-30,0,20236.944779571568,964,3,1,4,314,Potencial para Retenção
T01726,2023-06-02,0,4128.5284477440055,780,3,1,3,313,Potencial para Retenção
T01743,2014-04-09,0,69896.46026891566,4121,1,1,5,115,Adormecidos
T01744,2024-12-16,7,1416.3762359716295,217,5,4,2,542,Clientes Leais
T01759,2015-05-22,0,12113.42761723289,3713,1,1,4,114,Adormecidos
T01773,2024-05-31,17,10978.999891070267,416,4,4,3,443,Clientes Leais
T01777,2024-08-30,17,10128.832796269016,325,4,4,3,443,Clientes Leais
T01846,2021-02-25,0,94763.53775737144,1607,2,1,5,215,Adormecidos
T01872,2025-01-26,82,28723.868595937434,176,5,5,4,554,Campeões
T01877,2023-12-08,0,71218.28754882542,591,3,1,5,315,Potencial para Retenção
T01899,2021-11-30,0,4960.9384490231705,1329,2,1,3,213,Adormecidos
T01901,2025-01-16,104,32595.56658164577,186,5,5,4,554,Campeões
T02029,2019-04-30,0,3500.5141955504737,2274,1,1,3,113,Adormecidos
T02069,2015-03-05,0,49953.17594578012,3791,1,1,5,115,Adormecidos
T02072,2011-02-28,0,64146.11307562978,5257,1,1,5,115,Adormecidos
T02076,2025-01-26,55,149736.4094666062,176,5,5,5,555,Campeões
T02084,2019-03-29,0,16695.41354768233,2306,1,1,4,114,Adormecidos
T02145,2025-03-21,219,436789.4867154718,122,5,5,5,555,Campeões
T02202,2013-05-29,0,5275.807365880354,4436,1,1,3,113,Adormecidos
T02235,2022-04-01,0,14401.969733612093,1207,2,1,4,214,Adormecidos
T02250,2025-02-13,582,252492.5646755939,158,5,5,5,555,Campeões
T02262,2010-10-13,0,10241.576047019256,5395,1,1,3,113,Adormecidos
T02266,2025-01-23,108,28502.152954495978,179,5,5,4,554,Campeões
T02282,2023-04-24,0,34520.12611553837,819,3,1,4,314,Potencial para Retenção
T02312,2021-12-24,0,12574.111530753748,1305,2,1,4,214,Adormecidos
T02345,2017-04-20,0,29327.260855527027,3014,1,1,4,114,Adormecidos
T02382,2025-02-10,110,56493.10424148081,161,5,5,5,555,Campeões
T02413,2023-03-02,0,47698.563162217455,872,3,1,4,314,Potencial para Retenção
T02421,2021-09-14,0,6963.033928209687,1406,2,1,3,213,Adormecidos
T02424,2022-06-09,0,61835.83701665844,1138,2,1,5,215,Adormecidos
T02434,2024-09-25,36,29416.264923720642,299,4,5,4,454,Campeões
T02436,2022-03-24,0,6290.265410477282,1215,2,1,3,213,Adormecidos
T02500,2013-05-22,0,129712.02853098605,4443,1,1,5,115,Adormecidos
T02519,2013-05-22,0,30427.08663169431,4443,1,1,4,114,Adormecidos
T02523,2025-02-12,88,7639683.001455274,159,5,5,5,555,Campeões
T02542,2025-01-23,171,157943.86084515275,179,5,5,5,555,Campeões
T02553,2025-01-24,74,44334.998028141665,178,5,5,4,554,Campeões
T02571,2011-08-31,0,48740.58589957581,5073,1,1,5,115,Adormecidos
T02610,2020-08-27,0,159581.9863534249,1789,2,1,5,215,Adormecidos
T02655,2019-12-17,0,120319.32899455613,2043,1,1,5,115,Adormecidos
T02684,2025-03-19,1680,1712385.0175796724,124,5,5,5,555,Campeões
T02724,2022-11-30,0,38897.91808205585,964,3,1,4,314,Potencial para Retenção
T02725,2020-06-01,0,66303.1038833947,1876,1,1,5,115,Adormecidos
T02727,2015-09-21,0,17369.45583419716,3591,1,1,4,114,Adormecidos
T02776,2024-10-31,160,338961.0931131598,263,4,5,5,455,Campeões
T02810,2024-04-26,42,46085.94245659657,451,4,5,4,454,Campeões
T02817,2024-07-30,92,81019.29513982937,356,4,5,5,455,Campeões
T02855,2021-09-20,0,4322.574299989818,1400,2,1,3,213,Adormecidos
T02860,2024-10-21,270,227850.18756731087,273,4,5,5,455,Campeões
T02894,2011-01-20,0,15654.15170850751,5296,1,1,4,114,Adormecidos
T02895,2022-07-25,0,1176.0459141050248,1092,2,1,2,212,Perdidos
T02904,2024-04-08,18,12656.893890042827,469,4,4,4,444,Campeões
T02963,2024-09-30,756,207201.52540483983,294,4,5,5,455,Campeões
T02984,2024-12-24,84,16099.78160879385,209,5,5,4,554,Campeões
T03000,2024-12-26,385,240328.09802605727,207,5,5,5,555,Campeões
T03013,2024-10-02,96,297492.80211292196,292,4,5,5,455,Campeões
T03061,2023-12-05,0,36468.09693111292,594,3,1,4,314,Potencial para Retenção
T03062,2025-02-10,1421,1422129.5090496435,161,5,5,5,555,Campeões
T03063,2015-09-02,0,6847.814605469744,3610,1,1,3,113,Adormecidos
T03067,2025-02-19,316,122964.99299819751,152,5,5,5,555,Campeões
T03085,2023-10-31,0,221640.39659842802,629,3,1,5,315,Potencial para Retenção
T03108,2024-06-26,129,194971.15067948887,390,4,5,5,455,Campeões
T03116,2020-11-17,0,3399519.897983661,1707,2,1,5,215,Adormecidos
T03120,2025-01-31,610,1937021.1081616231,171,5,5,5,555,Campeões
T03133,2025-03-07,44,121492.6928476604,136,5,5,5,555,Campeões
T03154,2025-01-23,58,130108.62043507557,179,5,5,5,555,Campeões
T03193,2025-01-22,29,19224.84509895804,180,5,4,4,544,Campeões
T03198,2024-02-27,0,34444.75515678894,510,3,1,4,314,Potencial para Retenção
T03201,2018-03-29,0,12866.985865861985,2671,1,1,4,114,Adormecidos
T03211,2024-08-30,32,24070.871106829116,325,4,5,4,454,Campeões
T03213,2013-09-25,0,179.2314588812594,4317,1,1,1,111,Perdidos
T03231,2025-01-20,100,30168.620869142524,182,5,5,4,554,Campeões
T03268,2023-03-28,0,48085.225555203935,846,3,1,5,315,Potencial para Retenção
T03306,2024-07-02,330,366904.7468008981,384,4,5,5,455,Campeões
T03309,2023-10-27,0,114848.38277351433,633,3,1,5,315,Potencial para Retenção
T03314,2024-12-30,316,519288.1613016457,203,5,5,5,555,Campeões
T03315,2011-09-27,0,2974.809220120003,5046,1,1,3,113,Adormecidos
T03356,2022-03-24,0,3478057.3576453445,1215,2,1,5,215,Adormecidos
T03360,2013-09-23,0,3699.360852910446,4319,1,1,3,113,Adormecidos
T03367,2022-05-31,0,71033.14126262748,1147,2,1,5,215,Adormecidos
T03372,2024-06-12,44,17711.28829221221,404,4,5,4,454,Campeões
T03378,2025-01-20,106,249218.4702378795,182,5,5,5,555,Campeões
T03386,2024-12-04,25,93027.51702257263,229,5,4,5,545,Campeões
T03415,2018-11-09,0,36005.084080610235,2446,1,1,4,114,Adormecidos
T03436,2024-02-29,0,25143.72493412384,508,3,1,4,314,Potencial para Retenção
T03439,2024-06-12,26,27811.694604959317,404,4,4,4,444,Campeões
T03450,2015-12-10,0,21133.476217283638,3511,1,1,4,114,Adormecidos
T03455,2024-09-24,45,26501.90717255133,300,4,5,4,454,Campeões
T03456,2024-12-19,71,29531.404373170608,214,5,5,4,554,Campeões
T03459,2025-02-06,488,371815.76444367686,165,5,5,5,555,Campeões
T03485,2014-01-10,0,31171.224035961906,4210,1,1,4,114,Adormecidos
T03491,2024-06-21,30,133181.77889831798,395,4,4,5,445,Campeões
T03510,2024-09-27,38,70839.26356467645,297,4,5,5,455,Campeões
T03524,2014-08-28,0,31824.192385491395,3980,1,1,4,114,Adormecidos
T03546,2024-10-03,15,21649.03308102796,291,4,4,4,444,Campeões
T03558,2023-03-31,0,286427.96786211344,843,3,1,5,315,Potencial para Retenção
T03581,2024-12-11,41,40735.25598327881,222,5,5,4,554,Campeões
T03585,2024-09-30,188,103096.72650979242,294,4,5,5,455,Campeões
T03607,2025-01-27,23,18096.73577041941,175,5,4,4,544,Campeões
T03638,2019-05-27,0,13393.73339791969,2247,1,1,4,114,Adormecidos
T03644,2015-09-15,0,63993.44579145643,3597,1,1,5,115,Adormecidos
T03650,2021-06-25,0,32980.118638233536,1487,2,1,4,214,Adormecidos
T03655,2022-06-09,0,7820.431657683758,1138,2,1,3,213,Adormecidos
T03673,2022-03-31,0,25152.422715018056,1208,2,1,4,214,Adormecidos
T03718,2024-08-19,124,154639.62475011044,336,4,5,5,455,Campeões
T03752,2024-11-26,70,189845.10573234063,237,5,5,5,555,Campeões
T03753,2025-01-29,90,19040.426080084762,173,5,5,4,554,Campeões
T03799,2023-10-26,0,169513.11594153784,634,3,1,5,315,Potencial para Retenção
T03882,2016-02-24,0,9110.92338477303,3435,1,1,3,113,Adormecidos
T03960,2015-07-20,0,2746.123583162534,3654,1,1,3,113,Adormecidos
T03967,2024-01-31,0,616805.9949409033,537,3,1,5,315,Potencial para Retenção
T03969,2025-02-17,117,323873.6508048493,154,5,5,5,555,Campeões
T03993,2020-11-25,0,42990.22189086044,1699,2,1,4,214,Adormecidos
T04028,2023-11-30,0,112515.51518504781,599,3,1,5,315,Potencial para Retenção
T04036,2021-10-19,0,94323.7091802528,1371,2,1,5,215,Adormecidos
T04065,2024-08-06,356,229749.20866769334,349,4,5,5,455,Campeões
T04083,2024-09-17,42,28641.149294508858,307,4,5,4,454,Campeões
T04132,2021-11-09,0,12701.870960022196,1350,2,1,4,214,Adormecidos
T04205,2025-01-16,64,29179.27666846155,186,5,5,4,554,Campeões
T04247,2025-01-21,520,324448.8477930724,181,5,5,5,555,Campeões
T04251,2025-01-24,310,596448.0169038516,178,5,5,5,555,Campeões
T04281,2022-03-25,0,160375.0146188812,1214,2,1,5,215,Adormecidos
T04305,2025-02-27,360,144574.2828116691,144,5,5,5,555,Campeões
T04325,2021-06-15,0,16522.555136570805,1497,2,1,4,214,Adormecidos
T04366,2023-11-09,0,140860.78438643028,620,3,1,5,315,Potencial para Retenção
T04367,2021-12-09,0,13335.955582255008,1320,2,1,4,214,Adormecidos
T04389,2020-01-23,0,19670.00416721917,2006,1,1,4,114,Adormecidos
T04396,2024-09-02,39,30455.48789207199,322,4,5,4,454,Campeões
T04398,2025-03-10,164,213986.9169322536,133,5,5,5,555,Campeões
T04404,2021-03-05,0,26180.782915930686,1599,2,1,4,214,Adormecidos
T04411,2025-01-22,216,217553.37283447717,180,5,5,5,555,Campeões
T04467,2024-10-21,28,21627.33276929472,273,4,4,4,444,Campeões
T04488,2014-07-02,0,2085.907783530738,4037,1,1,2,112,Perdidos
T04491,2022-11-29,0,427668.0957258533,965,3,1,5,315,Potencial para Retenção
T04506,2014-11-28,0,7734.021369486176,3888,1,1,3,113,Adormecidos
T04586,2025-02-18,40,36475.13839220418,153,5,5,4,554,Campeões
T04610,2023-12-14,0,153298.9011313317,585,3,1,5,315,Potencial para Retenção
T04630,2019-06-13,0,54783.50895409677,2230,1,1,5,115,Adormecidos
T04697,2021-10-29,0,17590.561916320294,1361,2,1,4,214,Adormecidos
T04736,2019-12-10,0,2265.832878877702,2050,1,1,3,113,Adormecidos
T04786,2022-07-29,0,681.6512683508209,1088,2,1,2,212,Perdidos
T04802,2011-12-23,0,25049.17177420457,4959,1,1,4,114,Adormecidos
T04819,2024-12-17,405,56467.82224327013,216,5,5,5,555,Campeões
T04851,2024-12-11,106,339812.82404290227,222,5,5,5,555,Campeões
T04859,2022-06-30,0,14365.375155224354,1117,2,1,4,214,Adormecidos
T04867,2015-10-28,0,1225986.070704538,3554,1,1,5,115,Adormecidos
T04870,2025-01-16,156,159982.265040426,186,5,5,5,555,Campeões
T04876,2022-03-25,0,23546.423084751666,1214,2,1,4,214,Adormecidos
T04994,2015-01-05,0,3331.582187220615,3850,1,1,3,113,Adormecidos
T05034,2024-08-23,284,1513890.8914947163,332,4,5,5,455,Campeões
T05045,2021-06-15,0,14599.803261346402,1497,2,1,4,214,Adormecidos
T05049,2024-06-19,90,68415.96680036851,397,4,5,5,455,Campeões
T05051,2024-06-28,43,67861.39393639259,388,4,5,5,455,Campeões
T05077,2022-04-29,0,29256.156812006062,1179,2,1,4,214,Adormecidos
T05114,2024-06-24,50,346951.18404649803,392,4,5,5,455,Campeões
T05154,2024-09-02,60,149380.91026828802,322,4,5,5,455,Campeões
T05174,2025-02-14,189,42654.36311416519,157,5,5,4,554,Campeões
T05238,2015-09-02,0,4832.817488021077,3610,1,1,3,113,Adormecidos
T05248,2012-10-01,0,10666.590230773309,4676,1,1,3,113,Adormecidos
T05251,2011-12-07,0,1687.0331848904098,4975,1,1,2,112,Perdidos
T05273,2025-02-04,1017,480000.18410985026,167,5,5,5,555,Campeões
T05279,2022-03-17,0,164446.7447497272,1222,2,1,5,215,Adormecidos
T05303,2019-08-07,0,121903.84270981503,2175,1,1,5,115,Adormecidos
T05353,2023-10-27,0,30951.236179898646,633,3,1,4,314,Potencial para Retenção
T05357,2025-02-21,5,2695.080347001253,150,5,4,3,543,Clientes Leais
T05375,2010-05-14,0,1266.5003130905523,5547,1,1,2,112,Perdidos
T05395,2024-06-28,56,55569.062761153065,388,4,5,5,455,Campeões
T05409,2024-05-22,19,49875.75350463515,425,4,4,5,445,Campeões
T05435,2012-03-09,0,2903.6589341679623,4882,1,1,3,113,Adormecidos
T05500,2020-02-28,0,5164.081448613151,1970,1,1,3,113,Adormecidos
T05512,2023-06-28,0,10839.087110151175,754,3,1,3,313,Potencial para Retenção
T05513,2024-07-11,27,56729.8444691552,375,4,4,5,445,Campeões
T05519,2017-03-24,0,24388.808839564903,3041,1,1,4,114,Adormecidos
T05563,2023-11-10,0,27695.529414311637,619,3,1,4,314,Potencial para Retenção
T05606,2024-07-23,69,4590.498741619446,363,4,5,3,453,Clientes Leais
T05615,2024-09-30,36,12169.994721975612,294,4,5,4,454,Campeões
T05618,2022-03-25,0,11751.000461972442,1214,2,1,3,213,Adormecidos
T05621,2024-02-29,0,22065.080437016197,508,3,1,4,314,Potencial para Retenção
T05661,2021-03-23,0,37090.57470315291,1581,2,1,4,214,Adormecidos
T05690,2024-09-30,357,159676.35454361976,294,4,5,5,455,Campeões
T05691,2024-07-31,460,205315.71702816474,355,4,5,5,455,Campeões
T05704,2021-05-13,0,6396.74491374932,1530,2,1,3,213,Adormecidos
T05720,2025-02-28,168,195294.5113882293,143,5,5,5,555,Campeões
T05723,2024-06-27,78,20227.982155663165,389,4,5,4,454,Campeões
T05748,2025-01-16,76,67640.87639430097,186,5,5,5,555,Campeões
T05762,2019-08-29,0,59199.160860069685,2153,1,1,5,115,Adormecidos
T05787,2023-07-31,0,60531.9223729934,721,3,1,5,315,Potencial para Retenção
T05793,2022-03-30,0,29401.715373370283,1209,2,1,4,214,Adormecidos
T05797,2023-05-30,0,24338.30369714671,783,3,1,4,314,Potencial para Retenção
T05808,2010-10-15,0,30782.8969154577,5393,1,1,4,114,Adormecidos
T05809,2021-06-17,0,46162.107944388525,1495,2,1,4,214,Adormecidos
T05816,2022-03-29,0,62299.081079316355,1210,2,1,5,215,Adormecidos
T05821,2024-03-18,17,46756.31897948659,490,4,4,4,444,Campeões
T05830,2015-08-17,0,4559474.467621632,3626,1,1,5,115,Adormecidos
T05879,2014-05-09,0,39313.94441875724,4091,1,1,4,114,Adormecidos
T05914,2025-01-23,102,17849.75074233939,179,5,5,4,554,Campeões
T05948,2022-12-23,0,353570.6703428872,941,3,1,5,315,Potencial para Retenção
T05953,2024-02-27,0,96284.42188750951,510,3,1,5,315,Potencial para Retenção
T05958,2015-11-24,0,1418.5790572324192,3527,1,1,2,112,Perdidos
T05967,2025-03-07,222,127066.26363476785,136,5,5,5,555,Campeões
T05995,2025-02-28,200,74619.93963065452,143,5,5,5,555,Campeões
T05997,2025-01-23,116,101558.63599144747,179,5,5,5,555,Campeões
T06008,2015-09-30,0,23561.03569296259,3582,1,1,4,114,Adormecidos
T06016,2025-02-28,165,71571.59653745485,143,5,5,5,555,Campeões
T06096,2018-09-27,0,247697.92662018823,2489,1,1,5,115,Adormecidos
T06131,2025-01-31,186,364996.0610324266,171,5,5,5,555,Campeões
T06148,2022-03-25,0,7354.593815029836,1214,2,1,3,213,Adormecidos
T06178,2025-01-23,82,185550.9537120153,179,5,5,5,555,Campeões
T06187,2017-03-27,0,96409.64218692784,3038,1,1,5,115,Adormecidos
T06198,2020-04-15,0,8611.454683175749,1923,1,1,3,113,Adormecidos
T06200,2023-03-17,0,103880.98552877949,857,3,1,5,315,Potencial para Retenção
T06209,2023-05-16,0,163031.80623297548,797,3,1,5,315,Potencial para Retenção
T06244,2002-04-24,0,4291.364862890368,8489,1,1,3,113,Adormecidos
T06253,2022-10-13,0,97421.07765807718,1012,2,1,5,215,Adormecidos
T06336,2023-07-07,0,32456.095205750302,745,3,1,4,314,Potencial para Retenção
T06341,2011-12-14,0,5115.892631604688,4968,1,1,3,113,Adormecidos
T06358,2017-04-26,0,58301.41030372092,3008,1,1,5,115,Adormecidos
T06375,2015-03-27,0,32258.766140900094,3769,1,1,4,114,Adormecidos
T06376,2000-05-25,0,510781.98381853587,9188,1,1,5,115,Adormecidos
T06381,2025-02-28,189,35464.43859609417,143,5,5,4,554,Campeões
T06425,2023-02-08,0,95333.0301111461,894,3,1,5,315,Potencial para Retenção
T06435,2021-11-10,0,11253.789231781717,1349,2,1,3,213,Adormecidos
T06449,2025-02-28,498,130016.13557298145,143,5,5,5,555,Campeões
T06468,2025-01-20,243,99389.22278516038,182,5,5,5,555,Campeões
T06475,2023-05-23,0,38510.898361193,790,3,1,4,314,Potencial para Retenção
T06486,2011-05-17,0,16920.744506460156,5179,1,1,4,114,Adormecidos
T06525,2024-06-28,24,44243.58935353359,388,4,4,4,444,Campeões
T06542,2020-07-24,0,422489.06536043936,1823,1,1,5,115,Adormecidos
T06552,2025-01-26,153,21843.352184002622,176,5,5,4,554,Campeões
T06574,2022-12-28,0,67429.10707939196,936,3,1,5,315,Potencial para Retenção
T06575,2020-03-26,0,2968.104067618171,1943,1,1,3,113,Adormecidos
T06583,2015-09-02,0,3599.6411522860208,3610,1,1,3,113,Adormecidos
T06610,2014-04-28,0,11975.75969614825,4102,1,1,4,114,Adormecidos
T06619,2025-01-26,92,92805.96112771113,176,5,5,5,555,Campeões
T06638,2025-01-20,80,149581.36279916248,182,5,5,5,555,Campeões
T06654,2015-02-25,0,27273.340222708815,3799,1,1,4,114,Adormecidos
T06661,2025-01-31,42,21585.054575745555,171,5,5,4,554,Campeões
T06680,2022-03-21,0,41058.26356800028,1218,2,1,4,214,Adormecidos
T06682,2025-02-26,540,438799.435000222,145,5,5,5,555,Campeões
T06684,2024-07-31,27,49723.91438036327,355,4,4,5,445,Campeões
T06731,2013-10-08,0,593.1600707561106,4304,1,1,2,112,Perdidos
T06816,2024-08-26,150,57031.887417182894,329,4,5,5,455,Campeões
T06883,2015-09-02,0,12509.859774742454,3610,1,1,4,114,Adormecidos
T06888,2014-07-09,0,1531.128930543736,4030,1,1,2,112,Perdidos
T06914,2020-12-17,0,2797.1500038943373,1677,2,1,3,213,Adormecidos
T06925,2024-12-05,67,74380.26931439468,228,5,5,5,555,Campeões
T06937,2025-02-24,200,69642.34970259707,147,5,5,5,555,Campeões
T06961,2025-02-04,300,39136.65514197994,167,5,5,4,554,Campeões
T07049,2025-02-28,825,750607.9142665651,143,5,5,5,555,Campeões
T07061,2022-11-28,0,87743.12117608955,966,3,1,5,315,Potencial para Retenção
T07073,2024-10-07,54,154178.6507704311,287,4,5,5,455,Campeões
T07145,2021-06-30,0,15961.432662815618,1482,2,1,4,214,Adormecidos
T07157,2025-03-19,450,252990.05756422828,124,5,5,5,555,Campeões
T07174,2019-12-10,0,35465.72077259138,2050,1,1,4,114,Adormecidos
T07244,2025-01-22,267,588916.9956028053,180,5,5,5,555,Campeões
T07272,2025-01-23,47,36797.0109354363,179,5,5,4,554,Campeões
T07296,2015-09-10,0,26279.245663202106,3602,1,1,4,114,Adormecidos
T07300,2025-03-24,59,59377.43804332844,119,5,5,5,555,Campeões
T07372,2014-12-29,0,29117.761623596773,3857,1,1,4,114,Adormecidos
T07389,2015-09-02,0,922.2380255168695,3610,1,1,2,112,Perdidos
T07396,2023-05-31,0,80306.13175664861,782,3,1,5,315,Potencial para Retenção
T07402,2024-06-28,36,49549.32398001621,388,4,5,5,455,Campeões
T07413,2024-12-11,34,44358.74561841299,222,5,5,4,554,Campeões
T07422,2014-10-16,0,21122.399053119134,3931,1,1,4,114,Adormecidos
T07446,2012-06-29,0,11484.86686358153,4770,1,1,3,113,Adormecidos
T07457,2025-01-28,21,36943.8348578683,174,5,4,4,544,Campeões
T07472,2024-01-17,0,38382.52096489146,551,3,1,4,314,Potencial para Retenção
T07483,2025-01-16,120,42520.083502119094,186,5,5,4,554,Campeões
T07499,2025-02-24,1296,158615.8012029836,147,5,5,5,555,Campeões
T07504,2021-04-19,0,62488.15376829596,1554,2,1,5,215,Adormecidos
T07537,2024-01-15,0,76551.69196450364,553,3,1,5,315,Potencial para Retenção
T07542,2022-03-25,0,5321.368772033869,1214,2,1,3,213,Adormecidos
T07543,2025-01-23,141,23972.315874695607,179,5,5,4,554,Campeões
T07544,2025-02-28,14,27403.260434664357,143,5,4,4,544,Campeões
T07562,2022-03-25,0,47450.245511351735,1214,2,1,4,214,Adormecidos
T07578,2018-12-11,0,10687.937418487612,2414,1,1,3,113,Adormecidos
T07589,2025-02-26,228,93968.14692407419,145,5,5,5,555,Campeões
T07602,2024-10-09,70,60542.02003839111,285,4,5,5,455,Campeões
T07614,2020-11-18,0,73906.27178458957,1706,2,1,5,215,Adormecidos
T07616,2022-06-24,0,52450.49423062238,1123,2,1,5,215,Adormecidos
T07621,2024-11-27,134,67345.95898451189,236,5,5,5,555,Campeões
T07650,2025-02-28,48,35153.45824730232,143,5,5,4,554,Campeões
T07651,2012-02-27,0,40060521.43075569,4893,1,1,5,115,Adormecidos
T07654,2025-01-20,40,25229.845156163014,182,5,5,4,554,Campeões
T07665,2011-12-22,0,215063.97461691618,4960,1,1,5,115,Adormecidos
T07673,2025-01-21,86,71647.46775523107,181,5,5,5,555,Campeões
T07677,2025-01-16,24,93973.55308464928,186,5,4,5,545,Campeões
T07678,2015-09-02,0,3475.2742359134822,3610,1,1,3,113,Adormecidos
T07682,2024-10-28,118,412297.36808109074,266,4,5,5,455,Campeões
T07684,2025-01-24,272,189056.68069070208,178,5,5,5,555,Campeões
T07726,2023-09-14,0,12490.976047445762,676,3,1,4,314,Potencial para Retenção
T07742,2025-01-28,40,21113.54572950229,174,5,5,4,554,Campeões
T07748,2019-05-30,0,25351.706573544303,2244,1,1,4,114,Adormecidos
T07762,2022-09-14,0,35556.238229437455,1041,2,1,4,214,Adormecidos
T07781,2021-11-26,0,44553.82141571399,1333,2,1,4,214,Adormecidos
T07784,2024-10-31,19,187549.57680501603,263,4,4,5,445,Campeões
T07800,2025-03-19,84,35894.71600927289,124,5,5,4,554,Campeões
T07810,2011-06-22,0,488.92122346117185,5143,1,1,2,112,Perdidos
T07814,2014-08-05,0,305827.26463412563,4003,1,1,5,115,Adormecidos
T07826,2025-01-26,72,88149.89902658165,176,5,5,5,555,Campeões
T07849,2025-01-16,11,40791.020151264296,186,5,4,4,544,Campeões
T07880,2015-08-26,0,1962.8903053733027,3617,1,1,2,112,Perdidos
T07884,2022-10-25,0,37774.197580609296,1000,2,1,4,214,Adormecidos
T07885,2024-03-18,33,21365.272708693334,490,4,5,4,454,Campeões
T07888,2025-02-05,28,14035.431205845805,166,5,4,4,544,Campeões
T07890,2023-06-06,0,31293.85055538413,776,3,1,4,314,Potencial para Retenção
T07903,2022-03-25,0,46523.41687358908,1214,2,1,4,214,Adormecidos
T07912,2024-10-28,30,27859.83297567942,266,4,4,4,444,Campeões
T07947,2024-12-26,118,91748.48501066836,207,5,5,5,555,Campeões
T07984,2024-11-19,35,26957.769261671183,244,4,5,4,454,Campeões
T08043,2024-12-20,184,74977.28432235717,213,5,5,5,555,Campeões
T08085,2023-05-31,0,81981.96166165345,782,3,1,5,315,Potencial para Retenção
